actor,base_cost_revenue_ratio,high_stress_cost_revenue_ratio
Farmer,0.4723590003377237,0.6193503977058117
Middlemen,1.1252008340809752,1.4753933910832817
Retail,1.9729166666666664,2.593278635834623
Rice Miller,0.9136391552660676,1.187910634138727
Wholesaler,0.8777777777777778,1.1471043426541583
